"DataScribe Item #","DataScribe Record #","DataScribe Record Position",Year,Week,"Unique Identifier","Start Day","Start Month","End Day","End Month","St Alban Woodstreet - Buried","St Alban Woodstreet - Plague","Alhallows Barking - Buried","Alhallows Barking - Plague","Alhallows Breadstreet - Buried","Alhallows Breadstreet - Plague","Alhallows Great - Buried","Alhallows Great - Plague","Alhallows Honylane - Buried","Alhallows Honylane - Plague","Alhallows Lesse - Buried","Alhallows Lesse - Plague","Alhallows Lumbardstreet - Buried","Alhallows Lumbardstreet - Plague","Alhallows Stayning - Buried","Alhallows Stayning - Plague","Alhallows the Wall - Buried","Alhallows the Wall - Plague","St Alphage - Buried","St Alphage - Plague","St Andrew Hubbard - Buried","St Andrew Hubbard - Plague","St Andrew Undershaft - Buried","St Andrew Undershaft - Plague","St Andrew Wardrobe - Buried","St Andrew Wardrobe - Plague","St Ann Aldersgate - Buried","St Ann Aldersgate - Plague","St Ann Blackfryers - Buried","St Ann Blackfryers - Plague","St Antholins Parish - Buried","St Antholins Parish - Plague","St Austins Parish - Buried","St Austins Parish - Plague","St Bartholomew Exchange - Buried","St Bartholomew Exchange - Plague","St Bennet Fynck - Buried","St Bennet Fynck - Plague","St Bennet Gracechurch - Buried","St Bennet Gracechurch - Plague","St Bennet Paulswharf - Buried","St Bennet Paulswharf - Plague","St Bennet Sherehog - Buried","St Bennet Sherehog - Plague","St Botolph Billingsgate - Buried","St Botolph Billingsgate - Plague","Christ Church - Buried","Christ Church - Plague","St Christophers - Buried","St Christophers - Plague","St Clement Eastcheap - Buried","St Clement Eastcheap - Plague","St Dionis Backchurch - Buried","St Dionis Backchurch - Plague","St Dunstan East - Buried","St Dunstan East - Plague","St Edmund Lumbardstr. - Buried","St Edmund Lumbardstr. - Plague","St Ethelborough - Buried","St Ethelborough - Plague","St Faith - Buried","St Faith - Plague","St Foster - Buried","St Foster - Plague","St Gabriel Fenchurch - Buried","St Gabriel Fenchurch - Plague","St George Botolphlane - Buried","St George Botolphlane - Plague","St Gregory by St Pauls - Buried","St Gregory by St Pauls - Plague","St Hellen - Buried","St Hellen - Plague","St James Dukes place - Buried","St James Dukes place - Plague","St James Garlickhithe - Buried","St James Garlickhithe - Plague","St John Baptist - Buried","St John Baptist - Plague","St John Evangelist - Buried","St John Evangelist - Plague","St John Zachary - Buried","St John Zachary - Plague","St Katharine Coleman - Buried","St Katharine Coleman - Plague","St Katharine Creechurch - Buried","St Katharine Creechurch - Plague","St Lawrence Jewry - Buried","St Lawrence Jewry - Plague","St Lawrence Pountney - Buried","St Lawrence Pountney - Plague","St Leonard Eastcheap - Buried","St Leonard Eastcheap - Plague","St Leonard Fosterlane - Buried","St Leonard Fosterlane - Plague","St Magnus Parish - Buried","St Magnus Parish - Plague","St Margaret Lothbury - Buried","St Margaret Lothbury - Plague","St Margaret Moses - Buried","St Margaret Moses - Plague","St Margaret Newfishstreet - Buried","St Margaret Newfishstreet - Plague","St Margaret Pattons - Buried","St Margaret Pattons - Plague","St Mary Abchurch - Buried","St Mary Abchurch - Plague","St Mary Aldermanbury - Buried","St Mary Aldermanbury - Plague","St Mary Aldermary - Buried","St Mary Aldermary - Plague","St Mary le Bow - Buried","St Mary le Bow - Plague","St Mary Bothaw - Buried","St Mary Bothaw - Plague","St Mary Colechurch - Buried","St Mary Colechurch - Plague","St Mary Hill - Buried","St Mary Hill - Plague","St Mary Mounthaw - Buried","St Mary Mounthaw - Plague","St Mary Sommerset - Buried","St Mary Sommerset - Plague","St Mary Stayning - Buried","St Mary Stayning - Plague","St Mary Woolchurch - Buried","St Mary Woolchurch - Plague","St Mary Woolnoth - Buried","St Mary Woolnoth - Plague","St Martin Iremongerlane - Buried","St Martin Iremongerlane - Plague","St Martin Ludgate - Buried","St Martin Ludgate - Plague","St Martin Orgars - Buried","St Martin Orgars - Plague","St Martin Outwich - Buried","St Martin Outwich - Plague","St Martin Vintrey - Buried","St Martin Vintrey - Plague","St Matthew Fridaystreet - Buried","St Matthew Fridaystreet - Plague","St Maudlin Milkstreet - Buried","St Maudlin Milkstreet - Plague","St Maudlin Oldfishstreet - Buried","St Maudlin Oldfishstreet - Plague","St Michael Bassishaw - Buried","St Michael Bassishaw - Plague","St Michael Cornhil - Buried","St Michael Cornhil - Plague","St Michael Crookedlane - Buried","St Michael Crookedlane - Plague","St Michael Queenhithe - Buried","St Michael Queenhithe - Plague","St Michael Quern - Buried","St Michael Quern - Plague","St Michael Royal - Buried","St Michael Royal - Plague","St Michael Woodstreet - Buried","St Michael Woodstreet - Plague","St Mildred Breadstreet - Buried","St Mildred Breadstreet - Plague","St Mildred Poultrey - Buried","St Mildred Poultrey - Plague","St Nicholas Acons - Buried","St Nicholas Acons - Plague","St Nicholas Coleabby - Buried","St Nicholas Coleabby - Plague","St Nicholas Olaves - Buried","St Nicholas Olaves - Plague","St Olave Hartstreet - Buried","St Olave Hartstreet - Plague","St Olave Jewry - Buried","St Olave Jewry - Plague","St Olave Silverstreet - Buried","St Olave Silverstreet - Plague","St Pancras Soperlane - Buried","St Pancras Soperlane - Plague","St Peter Cheap - Buried","St Peter Cheap - Plague","St Peter Cornhil - Buried","St Peter Cornhil - Plague","St Peter Paulswharf - Buried","St Peter Paulswharf - Plague","St Peter Poor - Buried","St Peter Poor - Plague","St Steven Colemanstreet - Buried","St Steven Colemanstreet - Plague","St Steven Walbrook - Buried","St Steven Walbrook - Plague","St Swithin - Buried","St Swithin - Plague","St Thomas Apostles - Buried","St Thomas Apostles - Plague","Trinity Parish - Buried","Trinity Parish - Plague","Christened in the 97 Parishes within the Walls","Buried in the 97 Parishes within the Walls","Plague in the 97 Parishes within the Walls","St Andrew Holborn - Buried","St Andrew Holborn - Plague","St Bartholomew Great - Buried","St Bartholomew Great - Plague","St Bartholomew Less - Buried","St Bartholomew Less - Plague","St Bridget - Buried","St Bridget - Plague","Bridewel Precinct - Buried","Bridewel Precinct - Plague","St Botolph Aldersgate - Buried","St Botolph Aldersgate - Plague","St Botolph Aldgate - Buried","St Botolph Aldgate - Plague","St Botolph Bishopsgate - Buried","St Botolph Bishopsgate - Plague","St Dunstan West - Buried","St Dunstan West - Plague","St George Southwark - Buried","St George Southwark - Plague","St Giles Cripplegate - Buried","St Giles Cripplegate - Plague","St Olave Southwark - Buried","St Olave Southwark - Plague","Saviours Southwark - Buried","Saviours Southwark - Plague","S Sepulchres Parish - Buried","S Sepulchres Parish - Plague","St Thomas Southwark - Buried","St Thomas Southwark - Plague","Trinity Minories - Buried","Trinity Minories - Plague","At the Pesthouse - Buried","At the Pesthouse - Plague","Christened in the 16 Parishes without the Walls","Buried in the 16 Parishes without the Walls","Plague in the 16 Parishes without the Walls","St Giles in the Field - Buried","St Giles in the Field - Plague","Hackney Parish - Buried","Hackney Parish - Plague","St James Clerkenwel - Buried","St James Clerkenwel - Plague","St Katharine Tower - Buried","St Katharine Tower - Plague","Lambeth Parish - Buried","Lambeth Parish - Plague","St Leonard Shoreditch - Buried","St Leonard Shoreditch - Plague","St Magdalen Bermondsey - Buried","St Magdalen Bermondsey - Plague","St Mary Islington - Buried","St Mary Islington - Plague","St Mary Newington - Buried","St Mary Newington - Plague","St Mary Whitechappel - Buried","St Mary Whitechappel - Plague","St Pauls Shadwel - Buried","St Pauls Shadwel - Plague","Rothorith Parish - Buried","Rothorith Parish - Plague","Stepney Parish - Buried","Stepney Parish - Plague","Christened in the 13 out-Parishes in Middlesex and Surrey","Buried in the 13 out-Parishes in Middlesex and Surrey","Plague in the 13 out-Parishes in Middlesex and Surrey","St Clement Danes - Buried","St Clement Danes - Plague","St Paul Covent Garden - Buried","St Paul Covent Garden - Plague","St Martin in the fields - Buried","St Martin in the fields - Plague","St Mary Savoy - Buried","St Mary Savoy - Plague","St Margaret Westminster - Buried","St Margaret Westminster - Plague","Whereof at the Pesthouse - Buried","Whereof at the Pesthouse - Plague","Christened in the 5 Parishes in the City and Liberties of Westminster","Buried in the 5 Parishes in the City and Liberties of Westminster","Plague in the 5 Parishes in the City and Liberties of Westminster"
127,96,1,1669,21,1669-21-recto,11,May,18,May,1,,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,3,,1,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,1,,,,,,,,,,11,22,0,11,,3,,,,3,,,,5,,9,,5,,3,,3,,24,,6,,15,,7,,,,1,,,,77,95,0,14,,4,,5,,6,,3,,8,,4,,2,,4,,17,,,,1,,32,,84,97,0,11,,2,,17,,2,,15,,,,43,47,0
128,98,1,1669,22,1669-22-recto,18,May,25,May,1,,1,,,,,,,,,,,,,,1,,1,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,1,,1,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,1,,,,,,,,,,11,23,0,10,,,,,,,,,,5,,16,,5,,6,,2,,18,,13,,8,,6,,2,,3,,,,90,94,0,9,,3,,10,,15,,1,,10,,6,,2,,6,,16,,,,2,,25,,93,103,0,10,,,,2,,1,,5,,,,43,49,0
129,99,1,1669,23,1669-23-recto,25,May,1,June,,,2,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,1,,,,,,1,,,1,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,,,,,,,,,,9,15,0,15,,,1,,,1,,,,3,,16,,6,,1,,1,,25,,10,,9,,7,,1,,,,,,84,96,0,16,,2,,7,,6,,9,,9,,4,,5,,8,,7,,,,,,30,,78,103,0,4,,5,,11,,2,,13,,,,31,35,0
130,100,1,1669,24,1669-24-recto,1,June,8,June,,,2,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,15,0,12,,2,,,,,,,,3,,15,,7,,4,,7,,26,,9,,12,,10,,,,,,,,84,107,0,12,,1,,5,,2,,6,,9,,4,,,,5,,11,,,,2,,17,,82,74,0,10,,2,,14,,4,,14,,,,40,44,0
131,101,1,1669,25,1669-25-recto,8,June,15,June,,,4,,,,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,19,,13,,,,,,,,,,3,,9,,6,,3,,,,23,,10,,9,,4,,,,1,,,,94,81,0,12,,2,,4,,7,,2,,3,,1,,2,,2,,11,,,,,,22,,90,68,0,9,,3,,16,,3,,11,,,,58,42,0
132,102,1,1669,26,1669-26-recto,15,June,22,June,,,,,,,,,,,,,1,,,,1,,,,,,2,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,2,,3,,,,,,,,1,,13,18,0,15,,2,,,,3,,,,6,,13,,10,,3,,3,,30,,12,,11,,10,,,,1,,,,90,119,0,10,,3,,4,,,,5,,12,,9,,4,,3,,22,,,,1,,37,,77,110,0,9,,2,,17,,7,,18,,,,41,47,0
133,103,1,1669,27,1669-27-recto,22,June,29,June,,,4,,,,1,,,,,,,,1,,2,,,,,,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,,1,,1,,,,,,19,22,0,15,,,,,,1,,,,3,,22,,11,,,,1,,24,,15,,14,,6,,2,,1,,,,70,115,0,19,,,,5,,5,,2,,11,,9,,2,,,,11,,,,1,,40,,87,105,0,7,,4,,16,,1,,13,,,,38,41,0
134,104,1,1669,28,1669-28-recto,29,June,6,July,,,4,,,,,,,,,,2,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,4,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,13,27,0,17,,2,,,,1,,,,4,,20,,12,,3,,4,,33,,23,,18,,7,,2,,,,,,86,146,0,12,,2,,5,,9,,7,,17,,9,,3,,3,,24,,,,1,,47,,86,139,0,5,,1,,27,,,,20,,,,37,53,0
136,106,1,1669,30,1669-30-recto,13,July,20,July,,,1,,,,,,,,,,,,,,2,,,,,,1,,,,,,1,,,,,,3,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,3,,3,,,,,,,,,,7,24,,24,,1,,,,2,,,,2,,16,,14,,1,,2,,22,,20,,9,,14,,,,,,,,80,127,,23,,3,,11,,7,,7,,18,,8,,6,,6,,22,,,,3,,64,,75,178,,11,,4,,29,,3,,13,,,,53,60,
137,107,1,1669,31,1669-31-recto,20,July,27,July,,,2,,1,,,,,,,,1,,1,,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,1,,2,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,,,,2,,,,,,10,25,,16,,1,,1,,1,,,,6,,10,,11,,,,3,,34,,15,,13,,17,,3,,,,,,75,131,,23,,2,,6,,4,,13,,19,,8,,5,,7,,23,,,,2,,50,,98,162,,12,,1,,20,,2,,15,,,,41,50,
138,108,1,1669,32,1669-32-recto,17,July,3,August,,,,,,,1,,,,,,1,,2,,1,,2,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,1,,,,,,,,,,1,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,2,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,1,,,,,,2,,,,,,,,,,9,31,0,16,,1,,1,,,,,,3,,18,,9,,12,,1,,26,,10,,14,,12,,2,,2,,,,85,117,,17,,2,,7,,5,,6,,18,,10,,4,,7,,22,,,,3,,35,,92,136,,11,,2,,26,,1,,16,,,,47,56,
139,109,1,1669,33,1669-33-recto,3,August,10,August,,,2,,1,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,1,,1,,,,,,,,,,1,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,1,,,,1,,1,,,,,,,,,,,,,,2,,,,1,,,,,,11,27,,20,,1,,1,,,,,,11,,19,,11,,1,,6,,29,,19,,19,,11,,,,,,,,97,150,,26,,4,,15,,5,,8,,16,,16,,3,,13,,31,,,,4,,49,,91,190,,12,,2,,32,,5,,19,,,,39,70,
140,110,1,1669,34,1669-34-recto,10,August,17,August,,,4,,,,,,,,,,,,,,4,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,4,,2,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,2,,,,,,,,,,1,,,,1,,5,,,,,,,,,,11,39,,14,,6,,,,3,,,,6,,28,,12,,5,,9,,43,,12,,19,,11,,1,,,,,,85,169,,28,,6,,14,,9,,7,,27,,16,,5,,8,,27,,,,4,,75,,93,216,,16,,4,,33,,3,,20,,,,48,76,
141,111,1,1669,35,1669-35-recto,17,August,24,August,,,1,,,,1,,,,,,,,2,,4,,,,,,2,,,,,,1,,,,,,1,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,1,,1,,2,,1,,,,1,,,,,,1,,,,,,2,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,,,,,,,8,35,,21,,2,,2,,2,,,,4,,17,,8,,5,,8,,42,,22,,28,,15,,3,,,,,,95,179,,19,,10,,19,,6,,6,,30,,11,,7,,6,,17,,,,,,64,,93,195,,16,,,,34,,3,,18,,,,49,73,
142,112,1,1669,36,1669-36-recto,24,August,31,August,,,7,,,,,,,,,,,,2,,,,,,,,1,,,,3,,3,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,1,,1,,1,,,,,,1,,,,3,,,,,,,,,,1,,2,,1,,,,,,,,1,,1,,,,,,,,1,,2,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,2,,1,,,,,,,,1,,,,,,,,,,,,,,1,,2,,,,,,,,,,12,46,,34,,2,,,,9,,,,16,,25,,22,,4,,9,,56,,28,,29,,19,,2,,1,,,,101,256,,47,,4,,21,,13,,10,,31,,22,,2,,13,,27,,,,2,,74,,99,266,,24,,1,,46,,4,,22,,,,58,97,
143,113,1,1669,37,1669-37-recto-form-fill,31,August,7,September,,,6,,,,2,,,,1,,,,2,,5,,1,,,,4,,,,1,,1,,,,,,,,1,,,,1,,,,,,1,,1,,,,,,,,,,5,,,,,,,,,,2,,,,,,,,,,,,,,2,,5,,,,,,,,,,2,,,,,,,,,,1,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,11,,,,,,,,,,12,62,,15,,7,,1,,4,,,,5,,24,,9,,4,,,,11,,59,39,,,19,,4,,1,,,,79,262,,46,,8,,16,,8,,13,,15,,16,,6,,17,,35,,,,6,,81,,91,267,,11,,2,,63,,5,,35,,,,47,116,
144,114,1,1669,38,1669-38-recto,7,September,14,September,,,2,,,,1,,,,,,,,,,5,,1,,,,3,,2,,2,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,2,,,,,,1,,,,,,,,,,1,,2,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,2,,,,3,,,,,,,,,,1,,,,1,,2,,,,,,,,,,21,48,,40,,3,,,,5,,1,,9,,19,,18,,6,,13,,40,,33,,20,,18,,1,,2,,,,87,228,,24,,4,,18,,7,,15,,25,,23,,9,,11,,31,,,,5,,87,,101,259,,18,,4,,38,,3,,21,,,,51,84,
145,115,1,1669,39,1669-39-recto,14,September,21,September,,,4,,,,1,,,,,,1,,1,,1,,,,,,,,,,2,,3,,,,,,1,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,1,,,,,,,,3,,1,,,,1,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,1,,,,,,,,1,,1,,,,,,,,2,,,,,,,,,,1,,,,1,,4,,,,,,,,,,17,43,,39,,4,,,,5,,,,13,,15,,16,,2,,3,,44,,19,,25,,25,,,,3,,,,88,213,,17,,3,,8,,5,,13,,26,,9,,4,,15,,34,,,,3,,49,,84,186,,16,,11,,30,,1,,24,,,,59,82,